"","V1"
"1",10.5099999999998
"2",0.990000000000001
"3",5.74999999999992
"4",14.5299999999997
"5",8.33999999999987
"6",1.94
"7",5.29999999999993
"8",7.35999999999989
"9",10.6899999999998
"10",14.4499999999997
"11",11.1999999999998
"12",13.4999999999998
"13",1.89
"14",2.36999999999999
"15",13.8499999999997
"16",11.4499999999998
"17",0.6
"18",19.5800000000003
"19",1.94
"20",1.3
"21",14.9099999999997
"22",17.2299999999999
"23",13.8999999999997
"24",6.52999999999991
"25",6.6499999999999
"26",16.2899999999997
"27",2.47999999999999
"28",3.40999999999997
"29",2.34999999999999
"30",6.12999999999991
"31",2.92999999999998
"32",17.61
"33",6.43999999999991
"34",2.66999999999999
"35",7.45999999999989
"36",14.2999999999997
"37",14.1799999999997
"38",1.76
"39",12.8299999999998
"40",19.6500000000003
"41",14.3999999999997
"42",7.15999999999989
"43",0.46
"44",16.1599999999997
"45",13.2199999999998
"46",14.0299999999997
"47",13.0299999999998
"48",11.3899999999998
"49",7.11999999999989
"50",17.5199999999999
"51",4.84999999999994
"52",4.29999999999995
"53",11.2099999999998
"54",7.40999999999989
"55",8.52999999999986
"56",13.8099999999998
"57",7.25999999999989
"58",7.55999999999988
"59",1.45
"60",2.62999999999999
"61",16.6499999999998
"62",14.1999999999997
"63",3.43999999999997
"64",5.79999999999992
"65",8.10999999999987
"66",14.5899999999997
"67",12.3299999999998
"68",15.0399999999997
"69",1.86
"70",7.88999999999988
"71",13.2099999999998
"72",13.3099999999998
"73",13.7899999999998
"74",17.75
"75",5.00999999999994
"76",16.4699999999998
"77",8.92999999999985
"78",1.39
"79",19.3100000000002
"80",8.00999999999987
"81",0.890000000000001
"82",16.2199999999997
"83",11.3699999999998
"84",9.35999999999984
"85",8.67999999999986
"86",16.4699999999998
"87",2.38999999999999
"88",10.2499999999998
"89",1.56
"90",13.4699999999998
"91",7.00999999999989
"92",14.4799999999997
"93",15.5599999999997
"94",18.4700000000001
"95",15.2199999999997
"96",1.46
"97",15.0899999999997
"98",3.85999999999996
"99",2.04
"100",15.7199999999997
"101",8.65999999999986
"102",4.17999999999996
"103",17.4199999999999
"104",7.23999999999989
"105",2.09
"106",2.60999999999999
"107",5.00999999999994
"108",3.40999999999997
"109",14.9199999999997
"110",1.25
"111",9.04999999999985
"112",3.48999999999997
"113",7.13999999999989
"114",2.17
"115",9.48999999999984
"116",14.5399999999997
"117",17.89
"118",0.42
"119",4.68999999999994
"120",6.8799999999999
"121",10.3199999999998
"122",8.57999999999986
"123",1.85
"124",2.01
"125",8.69999999999986
"126",15.0699999999997
"127",3.01999999999998
"128",9.54999999999984
"129",9.11999999999985
"130",8.29999999999987
"131",4.20999999999995
"132",8.55999999999986
"133",7.40999999999989
"134",17.0199999999999
"135",8.35999999999987
"136",14.2999999999997
"137",8.67999999999986
"138",10.9799999999998
"139",1.67
"140",10.5599999999998
"141",14.0299999999997
"142",9.12999999999985
"143",11.4599999999998
"144",14.6099999999997
"145",0.61
"146",2.14
"147",1.76
"148",7.88999999999988
"149",7.03999999999989
"150",1.9
"151",5.39999999999993
"152",13.2799999999998
"153",15.6399999999997
"154",9.23999999999985
"155",1.34
"156",7.43999999999989
"157",7.16999999999989
"158",13.4099999999998
"159",0.51
"160",7.92999999999988
"161",14.1099999999997
"162",14.7499999999997
"163",1.23
"164",10.4599999999998
"165",15.7399999999997
"166",3.28999999999997
"167",10.7399999999998
"168",14.1399999999997
"169",17.4799999999999
"170",8.90999999999985
"171",2.48999999999999
"172",1.73
"173",7.02999999999989
"174",17.75
"175",5.30999999999993
"176",9.51999999999984
"177",6.6299999999999
"178",19.7300000000003
"179",8.74999999999986
"180",1.83
"181",13.3299999999998
"182",2.32999999999999
"183",15.2699999999997
"184",1.44
"185",14.4999999999997
"186",0.39
"187",7.46999999999989
"188",8.38999999999987
"189",18.9900000000002
"190",7.49999999999988
"191",2.15
"192",16.9399999999998
"193",13.9599999999997
"194",8.50999999999986
"195",7.37999999999989
"196",18.6800000000001
"197",13.1099999999998
"198",8.30999999999987
"199",1.57
"200",3.27999999999997
"201",9.38999999999984
"202",2.25
"203",10.3099999999998
"204",9.09999999999985
"205",17.2899999999999
"206",14.7799999999997
"207",6.8099999999999
"208",15.6899999999997
"209",6.8399999999999
"210",13.3699999999998
"211",11.0899999999998
"212",6.9999999999999
"213",17.2199999999999
"214",7.12999999999989
"215",8.23999999999987
"216",16.8299999999998
"217",0.45
"218",1.89
"219",4.48999999999995
"220",15.2999999999997
"221",12.2599999999998
"222",15.2499999999997
"223",3.47999999999997
"224",15.6899999999997
"225",18.8600000000001
"226",15.0799999999997
"227",1.73
"228",2.03
"229",7.74999999999988
"230",9.20999999999985
"231",8.37999999999987
"232",6.8999999999999
"233",11.1399999999998
"234",12.7399999999998
"235",13.8799999999997
"236",8.99999999999985
"237",2.12
"238",10.7099999999998
"239",2.35999999999999
"240",1.9
"241",13.7599999999998
"242",1.78
"243",7.21999999999989
"244",6.7199999999999
"245",6.9399999999999
"246",5.31999999999993
"247",19.7100000000003
"248",14.2999999999997
"249",14.1499999999997
"250",1.89
"251",11.2899999999998
"252",4.22999999999995
"253",5.50999999999993
"254",2.74999999999999
"255",2.69999999999999
"256",7.68999999999988
"257",15.1899999999997
"258",11.2299999999998
"259",6.8099999999999
"260",2.25
"261",12.9599999999998
"262",15.8199999999997
"263",13.9799999999997
"264",4.34999999999995
"265",15.7099999999997
"266",7.14999999999989
"267",7.06999999999989
"268",16.9199999999998
"269",11.2099999999998
"270",2.90999999999998
"271",1.41
"272",13.3999999999998
"273",0.43
"274",17.3699999999999
"275",2.28
"276",15.2899999999997
"277",0.67
"278",7.16999999999989
"279",12.3899999999998
"280",10.2299999999998
"281",9.55999999999984
"282",1.86
"283",18.7600000000001
"284",8.08999999999987
"285",14.4399999999997
"286",14.5799999999997
"287",3.59999999999997
"288",18.6400000000001
"289",2.92999999999998
"290",11.8099999999998
"291",13.4499999999998
"292",7.19999999999989
"293",14.2399999999997
"294",6.9899999999999
"295",19.8400000000003
"296",0.65
"297",2.48999999999999
"298",15.2699999999997
"299",1.25
"300",14.7199999999997
"301",8.99999999999985
"302",14.5999999999997
"303",1.32
"304",7.37999999999989
"305",2.30999999999999
"306",17.3999999999999
"307",14.0099999999997
"308",5.25999999999993
"309",4.50999999999995
"310",10.4499999999998
"311",2.44999999999999
"312",13.0799999999998
"313",0.54
"314",14.8199999999997
"315",8.82999999999986
"316",10.0199999999998
"317",7.22999999999989
"318",2.63999999999999
"319",7.22999999999989
"320",16.0099999999997
"321",14.9299999999997
"322",7.55999999999988
"323",6.8499999999999
"324",7.95999999999987
"325",13.3999999999998
"326",1.65
"327",13.5999999999998
"328",6.9899999999999
"329",1.28
"330",11.8999999999998
"331",10.4799999999998
"332",8.63999999999986
"333",13.6599999999998
"334",13.7599999999998
"335",0.74
"336",14.1299999999997
"337",14.6599999999997
"338",8.95999999999985
"339",18.5000000000001
"340",4.44999999999995
"341",2.85999999999998
"342",16.7099999999998
"343",13.8699999999997
"344",14.3599999999997
"345",14.1999999999997
"346",9.23999999999985
"347",17.73
"348",9.22999999999985
"349",2.08
"350",8.85999999999986
"351",2.43999999999999
"352",7.07999999999989
"353",2.52999999999999
"354",14.6899999999997
"355",12.3499999999998
"356",13.7999999999998
"357",4.72999999999994
"358",6.9099999999999
"359",6.6099999999999
"360",14.4599999999997
"361",0.53
"362",18.4900000000001
"363",1.91
"364",8.51999999999986
"365",18.19
"366",15.9499999999997
"367",4.60999999999995
"368",6.5899999999999
"369",1.32
"370",10.5899999999998
"371",15.4599999999997
"372",1.71
"373",0.950000000000001
"374",13.5399999999998
"375",5.75999999999992
"376",2.05
"377",15.6599999999997
"378",15.3999999999997
"379",3.30999999999997
"380",6.7999999999999
"381",13.2899999999998
"382",0.920000000000001
"383",10.0499999999998
"384",2.93999999999998
"385",13.1899999999998
"386",8.77999999999986
"387",17.63
"388",12.1199999999998
"389",3.87999999999996
"390",8.29999999999987
"391",13.5299999999998
"392",8.12999999999987
"393",2.14
"394",18.3300000000001
"395",16.4199999999998
"396",14.1299999999997
"397",13.6699999999998
"398",2.46999999999999
"399",15.3699999999997
"400",2.50999999999999
"401",9.70999999999984
"402",13.6199999999998
"403",19.1900000000002
"404",2.34999999999999
"405",18.3400000000001
"406",2.22
"407",12.9999999999998
"408",7.49999999999988
"409",16.0699999999997
"410",17.4099999999999
"411",1.62
"412",19.3100000000002
"413",6.9099999999999
"414",14.3199999999997
"415",5.14999999999993
"416",18.2500000000001
"417",6.8899999999999
"418",1.96
"419",3.28999999999997
"420",6.8799999999999
"421",14.4799999999997
"422",2.58999999999999
"423",15.5399999999997
"424",6.9499999999999
"425",16.1599999999997
"426",14.9099999999997
"427",18.3700000000001
"428",15.3899999999997
"429",8.91999999999985
"430",13.3399999999998
"431",19.7400000000003
"432",0.77
"433",10.6999999999998
"434",5.08999999999994
"435",8.25999999999987
"436",17.84
"437",16.0299999999997
"438",1.59
"439",6.7499999999999
"440",14.3699999999997
"441",15.6999999999997
"442",2.13
"443",14.7999999999997
"444",4.20999999999995
"445",15.8199999999997
"446",14.7499999999997
"447",7.12999999999989
"448",7.03999999999989
"449",7.23999999999989
"450",15.9299999999997
"451",8.23999999999987
"452",8.27999999999987
"453",7.34999999999989
"454",3.27999999999997
"455",12.9199999999998
"456",19.5000000000002
"457",13.7799999999998
"458",18.15
"459",2.64999999999999
"460",8.12999999999987
"461",13.6099999999998
"462",17.2699999999999
"463",19.6900000000003
"464",2.02
"465",7.35999999999989
"466",16.4599999999998
"467",9.22999999999985
"468",13.3399999999998
"469",8.66999999999986
"470",13.1099999999998
"471",14.2499999999997
"472",18.9800000000002
"473",17.0699999999999
"474",13.3799999999998
"475",6.9499999999999
"476",12.8999999999998
"477",10.2699999999998
"478",2.82999999999998
"479",13.3599999999998
"480",15.0899999999997
"481",13.1399999999998
"482",4.56999999999995
"483",0.51
"484",14.4099999999997
"485",15.1799999999997
"486",7.53999999999988
"487",7.72999999999988
"488",11.0499999999998
"489",5.06999999999994
"490",8.68999999999986
"491",0.43
"492",5.28999999999993
"493",8.50999999999986
"494",13.8199999999997
"495",7.71999999999988
"496",9.83999999999983
"497",16.7699999999998
"498",7.73999999999988
"499",1.36
"500",16.6499999999998
"501",12.1999999999998
"502",14.5099999999997
"503",14.4199999999997
"504",13.9299999999997
"505",8.02999999999987
"506",1.31
"507",13.0499999999998
